time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2023-01-15T12:00,29.9,28.2,341,12.19470116
2023-01-15T13:00,29.5,22.7,342,12.98984613
2023-01-15T14:00,30.5,25,345,12.88400679
2023-01-15T15:00,32.6,29.5,332,14.45476063
2023-01-15T16:00,34.8,30.8,337,14.81446847
2023-01-15T17:00,36.4,29,332,14.81272779
2023-01-15T18:00,38.6,29.9,333,14.68740432
2023-01-15T19:00,40.7,28,331,11.62373032
2023-01-15T20:00,40.5,29.5,338,12.24551643
2023-01-15T21:00,40.5,23.3,338,13.60664403
2023-01-15T22:00,38.8,20.6,344,13.81052863
2023-01-15T23:00,36.9,23.9,337,15.35512141
2023-01-16T00:00,35.5,24.1,343,14.76183458
2023-01-16T01:00,34.4,23.5,335,12.93578333
2023-01-16T02:00,33.3,24.6,335,12.42233066
2023-01-16T03:00,32.2,25.4,339,8.615444118
2023-01-16T04:00,30.9,24.8,334,13.26974579
2023-01-16T05:00,30,24.2,337,8.615729901
2023-01-16T06:00,28.2,23.8,340,15.25323107
2023-01-16T07:00,26.5,18.4,334,12.08405547
2023-01-16T08:00,26,20,330,15.68703143
2023-01-16T09:00,27,19.7,332,9.745928506
2023-01-16T10:00,27.1,13.2,331,16.0233581
2023-01-16T11:00,26.9,18.3,324,14.47479035
2023-01-16T12:00,30.6,20.6,324,15.40619648
2023-01-16T13:00,30,15.8,311,13.94208737
2023-01-16T14:00,31.5,15,312,13.06656266
2023-01-16T15:00,33.8,14.6,327,13.63280509
2023-01-16T16:00,36.5,14.4,323,13.37184398
2023-01-16T17:00,38.8,14,288,15.71493317
2023-01-16T18:00,42.3,18,286,13.63010314
2023-01-16T19:00,45.8,17.6,301,14.63113319
2023-01-16T20:00,47.8,15.3,300,11.59556878
2023-01-16T21:00,48.6,16.5,302,12.62618929
2023-01-16T22:00,44.3,13,298,15.63720342
2023-01-16T23:00,42.3,13.8,290,12.42352576
2023-01-17T00:00,40.5,8.3,272,15.06994775
2023-01-17T01:00,39.5,11.3,277,9.30924433
2023-01-17T02:00,38.1,9.8,294,16.45731435
2023-01-17T03:00,36.6,9,286,11.83000511
2023-01-17T04:00,34.9,9.2,296,7.509380116
2023-01-17T05:00,33.9,7.6,270,15.68986328
2023-01-17T06:00,33.4,8.2,285,13.06108082
2023-01-17T07:00,33.4,10.2,260,12.91144088
2023-01-17T08:00,31.8,10,249,15.14744369
2023-01-17T09:00,31.7,9.1,261,15.06932423
2023-01-17T10:00,31.1,5.6,255,13.11766371
2023-01-17T11:00,32.3,7.8,236,12.96077528
2023-01-17T12:00,32.2,7.7,242,12.525546
